Source,Target
259150,257979
259150,262206
259150,259970
259150,258255
259150,250187
259150,250832
259150,251191
259150,257439
259150,241875
259150,246868
259150,258460
198199,249833
198199,245783
198199,251795
198199,258049
198199,237815
247179,248142
247179,247720
247179,250139
246348,245915
246348,248142
246348,245783
246348,234766
246348,244426
246348,252256
246348,246868
246348,247890
246348,246751
246348,250060
246348,246995
257360,257979
257360,258086
257360,263794
257360,260723
257360,252256
248142,247720
248142,250832
248142,246948
248142,246868
248142,247516
248142,247890
248142,251752
248142,247142
249833,247720
249833,246873
250493,247720
257979,262206
257979,258086
257979,250832
257979,251191
257979,257439
257979,252256
257979,257472
257979,246751
252952,260054
247720,247290
247720,241875
247720,234766
262206,260723
262206,252256
262206,257208
262206,246868
262206,246751
262206,262790
259970,260723
259970,246868
245733,234766
245733,244426
245733,252256
245733,247516
258086,261184
258086,258267
258086,257472
258086,246751
258086,264126
258086,246995
258086,259082
250187,263794
250187,237717
250187,247516
250187,251752
237850,250139
263794,250832
263794,260379
263794,241875
263794,246948
263794,252256
263794,247516
260723,250832
260723,257439
260723,252256
260723,258755
260723,246868
245783,247492
245783,247290
245783,241875
245783,246948
245783,230727
245783,250651
245783,246751
257155,246751
250139,234766
250139,246868
257182,244426
257182,246868
257182,247516
257164,257208
261184,246868
250832,234766
250832,244426
250832,252256
250832,262790
247414,258049
247414,258393
250835,258393
258049,251191
258049,217662
258049,257208
247290,234766
247290,244426
251191,217662
251191,257472
251191,246751
217662,258393
257439,244426
257439,252256
257439,246868
257439,262790
241875,234766
241875,244426
241875,252256
241875,246868
246948,234766
246948,246868
246948,247516
230727,234766
230727,244426
230727,252256
230727,246868
230727,247516
234766,250651
234766,231063
234766,246868
234766,247516
234766,251752
234766,246995
250651,246868
250651,246751
250651,247273
250651,246995
244426,252256
244426,247516
244426,246751
244426,264126
244426,262790
244426,258460
252256,246873
252256,246751
252256,262790
252256,247273
257236,246873
260924,260924
257472,257208
257472,246751
257472,258393
231063,249420
246873,264126
246873,259325
246873,246995
246873,258934
237717,247516
237717,249755
258755,246868
246868,247516
246868,264126
246868,251752
246868,259082
246868,258460
246868,264542
247516,247890
247516,239509
247516,258934
247516,247142
246751,258393
246751,251752
246751,258460
262790,258460
